"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
36,545,4,12,145,106,138,13,152
36,546,4,12,96,69,70,0,70
36,547,4,12,4,3,0,2,2
36,548,4,12,11,8,6,5,11
36,549,4,12,13,10,0,7,7
36,550,4,12,104,77,64,3,66
36,551,4,12,1,1,0,0,0
36,552,4,12,3,2,1,2,2
36,553,4,12,80,57,0,39,40
36,554,4,12,2,2,0,0,0
37,532,1,12,20153,14918,2770,10843,13613
37,533,1,12,17068,12321,11187,5831,17018
37,534,1,12,24933,17882,14317,4870,19186
37,535,1,12,29765,21406,5407,12884,18290
36,537,1,12,15700,11485,1618,5227,6845
37,538,1,12,36601,26911,4562,19353,23915
37,539,1,12,22607,16367,7512,6047,13559
37,540,1,12,19501,14029,8478,4641,13118
37,541,1,12,10427,7394,4541,3508,8049
36,542,1,12,4918,3485,2031,2185,4215
36,543,1,12,4555,3232,1491,1974,3466
36,544,1,12,2486,1767,963,843,1806
36,545,1,12,7709,5298,5153,2606,7758
36,546,1,12,9241,6521,8398,377,8775
36,547,1,12,10098,7219,5320,4284,9604
36,548,1,12,11833,8364,6090,4080,10170
36,549,1,12,17155,12552,3297,7735,11033
36,550,1,12,21085,15125,11954,2507,14461
36,551,1,12,13934,9722,4146,3403,7549
36,552,1,12,24489,17972,5146,12266,17412
36,553,1,12,20868,15585,1950,12684,14634
36,554,1,12,24132,17015,5847,6168,12015
37,532,3,12,72023,53527,11719,38355,50074
37,533,3,12,100012,73369,65071,35196,100267
37,534,3,12,141990,103955,90200,22793,112993
37,535,3,12,135166,98632,30797,51643,82440
36,537,3,12,67843,49989,11063,17994,29057
37,538,3,12,182361,135716,29433,89028,118461
37,539,3,12,141523,104638,60520,34003,94523
37,540,3,12,114852,84366,59112,22175,81286
37,541,3,12,68872,50509,33053,21430,54483
36,542,3,12,103322,73699,54173,41948,96121
36,543,3,12,85621,61482,35446,34405,69851
36,544,3,12,78967,55448,32312,24297,56608
36,545,3,12,124563,89313,105745,33586,139331
36,546,3,12,115321,83353,127548,4026,131574
36,547,3,12,125883,92052,82753,55440,138193
36,548,3,12,192300,139401,104653,67781,172434
36,549,3,12,143493,105187,28410,70629,99039
36,550,3,12,83045,60790,52858,10075,62933
36,551,3,12,101477,73988,34668,32026,66694
36,552,3,12,131200,98126,30411,67146,97557
36,553,3,12,122632,92710,14020,72408,86428
36,554,3,12,147706,106925,35727,42461,78188
37,532,2,12,22965,17300,1333,14315,15647
37,533,2,12,13195,9767,9249,4297,13546
37,534,2,12,5744,4193,2682,1304,3986
37,535,2,12,10803,7950,2322,4507,6829
36,537,2,12,9061,6712,1757,3006,4763
37,538,2,12,25444,18841,3259,12997,16256
37,539,2,12,24934,18315,8834,6355,15190
37,540,2,12,29754,21999,14145,7939,22083
37,541,2,12,41686,30697,11742,19016,30758
36,542,2,12,10287,7526,2354,4331,6685
36,543,2,12,10397,7579,1685,5718,7403
36,544,2,12,24516,18132,7083,10145,17228
36,545,2,12,8431,6303,2158,2309,4467
36,546,2,12,4933,3626,2585,1088,3673
36,547,2,12,3163,2316,1058,1196,2254
36,548,2,12,6342,4639,2916,1878,4795
36,549,2,12,3597,2622,952,1296,2248
36,550,2,12,5970,4296,3423,959,4382
36,551,2,12,3000,2097,620,799,1419
36,552,2,12,3460,2576,806,1486,2293
36,553,2,12,6801,5173,409,4435,4844
