"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,535,2010,509,6,1116,610,0.546594982
28,539,2001,509,6,695,342,0.492086331
28,541,2008,509,6,4,2,0.5
28,532,2003,509,6,1990,545,0.273869347
28,535,2001,509,6,3880,1909,0.492010309
28,540,2006,509,6,366,204,0.557377049
28,540,2010,509,6,102,69,0.676470588
28,540,2011,509,6,97,56,0.577319588
28,537,2011,509,6,129,75,0.581395349
28,537,2001,509,6,343,168,0.489795918
28,540,2009,509,6,193,68,0.352331606
28,540,2002,509,6,711,297,0.417721519
28,540,2005,509,6,706,296,0.419263456
28,537,2006,509,6,369,206,0.558265583
28,540,2008,509,6,162,56,0.345679012
28,540,2003,509,6,718,197,0.274373259
28,537,2004,509,6,343,204,0.594752187
28,540,2001,509,6,504,248,0.492063492
28,537,2005,509,6,341,143,0.419354839
28,540,2004,509,6,631,376,0.595879556
28,540,2003,1101,1,123549,279075,2.258820387
28,540,2004,1101,1,153026,288049,1.882353326
28,537,2004,1101,1,20898,35035,1.676476218
28,540,2005,1101,1,151260,371922,2.458825863
28,540,2001,1101,1,182478,314506,1.723528316
28,540,2002,1101,1,119478,169378,1.417650111
28,540,2011,1101,1,265814,600427,2.258823839
28,540,2008,1101,1,176419,570767,3.235292117
28,540,2010,1101,1,227973,598094,2.623529979
28,537,2005,1101,1,18399,34958,1.899994565
28,537,2011,1101,1,40034,39328,0.98236499
28,540,2006,1101,1,153639,358792,2.335292471
28,540,2007,1101,1,160000,475000,2.96875
28,540,2009,1101,1,185340,527674,2.847059458
28,541,2005,1101,1,109752,220150,2.005885998
28,541,2011,1101,1,171684,211070,1.229409846
28,538,2003,1101,1,34979,57407,1.641184711
28,532,2006,1101,1,178770,360695,2.017648375
28,538,2007,1101,1,69000,147000,2.130434783
28,541,2004,1101,1,105398,242415,2.299996205
28,532,2010,1101,1,324981,659520,2.02941095
28,538,2002,1101,1,43266,57518,1.329404151
28,537,2003,1101,1,15368,36070,2.347084852
28,535,2004,1101,1,13733,33363,2.429403626
28,539,2004,1101,1,104151,131108,1.258826127
28,533,2002,1101,1,8746,11113,1.270638006
