state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
36,554,SCHEDULED TRIBES,Below 0.5,7092,2022,675,623,1298
37,532,ALL SOCIAL GROUPS,Below 0.5,144024,37457,9185,24577,33762
37,533,ALL SOCIAL GROUPS,Below 0.5,189151,51936,45837,18732,64569
37,534,ALL SOCIAL GROUPS,Below 0.5,274368,71226,50901,18683,69584
37,535,ALL SOCIAL GROUPS,Below 0.5,289341,70477,18376,36431,54807
36,537,ALL SOCIAL GROUPS,Below 0.5,107339,30551,6717,9282,15999
37,538,ALL SOCIAL GROUPS,Below 0.5,324726,83602,16430,45143,61573
37,539,ALL SOCIAL GROUPS,Below 0.5,256198,69226,42091,15941,58032
37,540,ALL SOCIAL GROUPS,Below 0.5,280779,70536,41806,23428,65234
37,541,ALL SOCIAL GROUPS,Below 0.5,170114,48535,29139,21398,50536
36,542,ALL SOCIAL GROUPS,Below 0.5,308866,72753,52447,40686,93133
36,543,ALL SOCIAL GROUPS,Below 0.5,244848,55780,31861,33551,65412
36,544,ALL SOCIAL GROUPS,Below 0.5,254854,61546,38829,26025,64853
36,545,ALL SOCIAL GROUPS,Below 0.5,421667,102491,124917,35706,160622
36,546,ALL SOCIAL GROUPS,Below 0.5,299108,79758,122028,4238,126266
36,547,ALL SOCIAL GROUPS,Below 0.5,257268,71639,69072,40284,109356
36,548,ALL SOCIAL GROUPS,Below 0.5,325972,95713,78225,45981,124206
36,549,ALL SOCIAL GROUPS,Below 0.5,214682,61716,17953,37821,55774
36,550,ALL SOCIAL GROUPS,Below 0.5,198408,51866,48706,6049,54755
36,551,ALL SOCIAL GROUPS,Below 0.5,123309,35264,19024,10326,29350
36,552,ALL SOCIAL GROUPS,Below 0.5,123253,39479,18273,21622,39895
36,553,ALL SOCIAL GROUPS,Below 0.5,108569,33680,5644,24160,29804
36,554,ALL SOCIAL GROUPS,Below 0.5,278390,71547,22016,25810,47826
37,532,INSTITUTIONAL,1.0-2.0,6,8,3,2,5
37,533,INSTITUTIONAL,1.0-2.0,8,11,1,3,4
37,534,INSTITUTIONAL,1.0-2.0,5,9,2,3,6
37,535,INSTITUTIONAL,1.0-2.0,32,46,12,7,19
36,537,INSTITUTIONAL,1.0-2.0,10,16,1,2,3
37,538,INSTITUTIONAL,1.0-2.0,0,0,0,0,0
37,539,INSTITUTIONAL,1.0-2.0,16,22,10,3,13
37,540,INSTITUTIONAL,1.0-2.0,1,1,1,0,1
37,541,INSTITUTIONAL,1.0-2.0,24,38,19,5,24
36,542,INSTITUTIONAL,1.0-2.0,106,162,127,48,175
36,543,INSTITUTIONAL,1.0-2.0,6,10,7,1,7
36,544,INSTITUTIONAL,1.0-2.0,43,62,37,2,40
36,545,INSTITUTIONAL,1.0-2.0,126,183,205,35,240
36,546,INSTITUTIONAL,1.0-2.0,144,208,232,1,232
36,547,INSTITUTIONAL,1.0-2.0,1,2,0,1,1
36,548,INSTITUTIONAL,1.0-2.0,142,214,85,85,170
36,549,INSTITUTIONAL,1.0-2.0,15,22,1,11,12
36,550,INSTITUTIONAL,1.0-2.0,152,214,134,26,160
36,551,INSTITUTIONAL,1.0-2.0,5,6,2,3,5
36,552,INSTITUTIONAL,1.0-2.0,2,3,3,0,3
36,553,INSTITUTIONAL,1.0-2.0,80,114,9,63,72
36,554,INSTITUTIONAL,1.0-2.0,5,8,0,3,3
37,532,SCHEDULED CASTE,1.0-2.0,18917,26616,3263,20659,23922
37,533,SCHEDULED CASTE,1.0-2.0,10813,14520,11983,7968,19951
37,534,SCHEDULED CASTE,1.0-2.0,13973,18940,14328,5567,19894
37,535,SCHEDULED CASTE,1.0-2.0,18593,25236,7035,15290,22325
36,537,SCHEDULED CASTE,1.0-2.0,12105,16722,2238,8313,10551
37,538,SCHEDULED CASTE,1.0-2.0,27944,39005,7649,27772,35421
37,539,SCHEDULED CASTE,1.0-2.0,14990,20554,8186,8521,16708
37,540,SCHEDULED CASTE,1.0-2.0,11507,15694,9313,4935,14247
37,541,SCHEDULED CASTE,1.0-2.0,5748,7799,4355,3852,8207
