size_class,social_group,district_name,district_code,state_name,state_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
20.0 & ABOVE,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,2,63,31,0,31
20.0 & ABOVE,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,1,41,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2,58,0,29,29
20.0 & ABOVE,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4,103,10,65,75
20.0 & ABOVE,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,350,11906,487,5655,6142
20.0 & ABOVE,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,47,1591,581,183,764
20.0 & ABOVE,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,146,4950,2048,450,2499
20.0 & ABOVE,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,240,8764,1908,3204,5112
20.0 & ABOVE,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,175,5127,839,1123,1962
20.0 & ABOVE,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,379,11934,1549,3738,5286
20.0 & ABOVE,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,195,7065,1741,1569,3311
20.0 & ABOVE,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,347,11428,1981,5833,7814
20.0 & ABOVE,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,212,9260,2843,3727,6570
20.0 & ABOVE,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,100,4395,1704,976,2680
20.0 & ABOVE,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,99,3363,930,998,1929
20.0 & ABOVE,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,83,2857,877,871,1749
20.0 & ABOVE,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,134,4565,1658,1031,2688
20.0 & ABOVE,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,80,3038,2184,290,2474
20.0 & ABOVE,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,72,2274,890,566,1456
20.0 & ABOVE,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,117,5694,2937,833,3770
20.0 & ABOVE,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,188,5877,578,2290,2868
20.0 & ABOVE,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,238,9420,2670,2357,5027
20.0 & ABOVE,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,50,2355,604,549,1153
20.0 & ABOVE,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,261,10470,957,6197,7153
20.0 & ABOVE,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,424,14504,1259,9187,10446
20.0 & ABOVE,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,148,5839,1129,1715,2844
Below 0.5,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,14,4,0,1,2
Below 0.5,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,15,4,1,0,1
Below 0.5,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,1,0,0,0,0
Below 0.5,INSTITUTIONAL,MEDAK,535,TELANGANA,37,23,9,2,2,5
Below 0.5,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,3,1,0,0,0
Below 0.5,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,1,0,0,0,0
Below 0.5,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,25,6,3,1,4
Below 0.5,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,2,1,0,0,0
Below 0.5,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,9,3,2,1,3
Below 0.5,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,15,10,5,16
Below 0.5,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,4,1,0,0,1
Below 0.5,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,52,14,8,2,9
Below 0.5,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,256,60,78,7,86
Below 0.5,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,143,41,60,1,61
Below 0.5,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,7,2,0,1,1
Below 0.5,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,16,4,3,2,5
Below 0.5,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,8,3,0,1,1
Below 0.5,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,37,9,10,0,10
Below 0.5,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,2,0,0,0,0
