size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
20.0 & ABOVE,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,1,21,10,10,21,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,3,67,44,23,67,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,42,1049,564,485,1049,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,25,664,246,212,457,0,163,2,165,41
20.0 & ABOVE,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,4,406,338,68,406,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,2,63,31,31,63,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,1,41,0,41,41,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2,58,29,29,58,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4,103,75,28,103,0,0,0,0,0
